ImageId,EncodedPixels
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,68656 3 69181 3 69706 3 70230 3 70754 3 71278 3 71802 4 72325 5 72838 3 72848 6 73362 16 73886 15 74409 14 74934 11 75459 3
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,161395 5 161918 8 162442 9 162965 11 163489 8 164013 6 164537 5 165061 5 165585 4 166109 4 166633 4 167157 4 167681 5 168205 5 168729 7 169254 7 169779 7 170305 4
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,59215 1 59739 2 60262 3 60787 1
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,80710 7 81226 19 81747 24 82271 25 82795 26 83318 26 83842 21 84366 20 84890 20 85414 20 85938 20 86462 21 86986 23 87510 23 88034 23 88558 23 89083 23 89610 20 90142 3 90152 10
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,67076 4 67600 5
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,117919 1 118441 5 118963 8 119487 9 120010 10 120533 11 121056 12 121579 12 122104 10 122628 9 123152 9 123678 5
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,111107 5 111631 6 112154 7 112678 8 113202 8 113726 7 114251 5 114775 1
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,62375 1 62899 1 63423 1 63947 1 64471 1
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,39323 1 39847 1 40370 3 40895 1 41419 1
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,67095 1
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,163511 1 164035 1 164559 1 165083 1
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,37230 3 37754 3
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,42994 3 43518 3
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,160895 6 161418 10 161942 5
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,167201 6 167723 4 168246 4 168770 4 169294 3 169818 3 170342 3 170867 1
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,171915 1 172438 3 172962 4 173487 2
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,174015 3 174540 1
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,31503 3 32025 6 32548 6 33071 6 33595 4 34119 4 34643 3 35167 3 35690 4 36214 4 36738 4 36752 1 37261 5 37275 2 37784 7 37797 4 38307 8 38320 5 38831 8 38843 6 39354 10 39365 8 39878 19 40401 19 40925 19 41448 19 41971 20 42495 19 43019 18 43543 17 44067 16 44590 16 45114 16 45638 6 45645 8 46162 5 46169 8 46686 5 46694 7 47210 5 47218 6 47734 6 47741 6 48259 12 48783 12 49307 12 49832 10 50357 9 50882 7 51408 1
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,167736 1 168260 1 168783 2 169307 3 169831 3 170355 3 170879 3 171403 3 171927 2 172448 5 172971 5 173495 3
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,156208 1 156731 2 157255 2
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,131056 1 131580 1 132104 1 132628 1 133152 1
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,126868 1 127391 3 127915 3 128438 4 128962 4 129486 4 130010 4 130534 3
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,134203 2 134728 1
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,97008 6 97531 8 98053 11 98576 12 99099 14 99622 14 100146 14 100670 14 101193 16 101717 16 102241 15 102765 14 103290 13 103814 13 104339 12 104864 10 105392 1
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,64519 4 65043 4 65567 4 66090 4 66614 4 67138 4 67661 5 68184 5 68708 3 69231 3 69755 3 70279 2 70804 1 71328 1 71852 1
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,178227 2 178750 3 179272 5 179795 7 180319 7 180844 5
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,177176 2 177700 2
c8e79ff4ac55f4b772057de28e539727b7f4f2a3de73bf7a082a0ace86d609eb,154128 1 154650 3 155172 6 155695 7 156219 7 156744 6 157268 6 157792 7 158318 6 158843 8 159366 8 159890 8 160413 7 160936 6 161459 7 161982 6 162505 6 163029 5 163554 4 164079 2 164604 1
